vietnamese	english
sẵn có	inhere
sẵn lòng	content
sẵn sàng	tautly
sẵn sàng nghe	ear
sẵn sàng ngủ	sleepily
sẵn tiền	beforehand
sẵn để dùng	disposable
sẳng	curtly
sặc mùi	reek
sặc mùi bia	beery
sặc mùi rượu	winy
sặc mùi thối	reeky
sặc mùi ôi	smell
sặc sỡ	loud
sơ	slightly
sơ bộ	preliminary
sơ chế	primogenial
sơ cấp	elemntary
sơ lược	summary
sơ sài	slim
sơ sinh	primigenial
sơ sót	defectively
sơ suất	nonchalant
sơ tán	evacuate
sơ thành	primigenial
sơ ý	careless
sơ đồ	plat
sơ đồ bố trí	lay-out
sơ đồ ma trận	matrixer
sơ đồ ném bom	pattern
sơ đồ số học	arithmograph
sơ đồ trùng	gate
sơ đồ trừ	subtracter
sơ đồ điện	network
sơ đẳng	primary
sơn	lac
sơn dầu	varnish
sơn dương	serow
sơn dương goran	goral
sơn già vân	grain
sơn giả vân	vein
sơn lại	recoat
sơn lót	prime
sơn lắc	dope
sơn mài	lacker
sơn mài nhật	japan
sơn màu	colour-wash
sơn mạ lại	duff
sơn nguỵ trang	dazzle
sơn nâu	brown
sơn phòng bẩn	anti-fouling
sơn phủ lên	paint
sơn son	vermilion
sơn văn học	orography
sơn đen	black
sơn đen bóng	japan
sờ	feel
sờ mó	handle
sờ mó được	tactile
sờ nhẹ	finger
sờ nắn	palpate
sờ soạng	feel
sờ soạng tìm	grope
sờ sờ	indubitable
sờ vào	hand
sờ để tìm	search
sờn	fuzzy
sờn khuỷu	elbow
sờn rách	shot
sớm	early
sớm biết	forward
sớm chết	ephemeral
sớm dưỡng	praecocial
sớm kết quả	precocious
sớm ra hoa	precocious
sớm rụng	caducous
sớm tinh khôn	precocious
sớm xét đoán	prejudge
sớt qua	glancing
sở	agency
sở bưu điện	post
sở cảnh sát	choky
sở công an	constabulary
sở cứu hoả	fire-department
sở hải quan	customhouse
sở hữu	possessive
sở khanh	lovelace
sở khí tượng	weather-bureau
sở thích	bent
sở thu thuế	revenue
sở thuế quan	douane
sở thuế vụ	taxman
sở trường	knack
sở đúc tiền	mint
sởn gai ốc	creepy
sởn gáy	creepy
sợ	funk
sợ chết cứng	stiff
sợ cụp đuôi	tail
sợ hãi	funk
sợ hết hồn	leap
sợ lao động	kid-glove
sợ mất mạng	skin
sợ rằng	doubt
sợ súng	gun-shy
sợ sệt	fearsome
sợ vợ	henpecked
sợ xanh mắt	jitters
sợi	yarn
sợi acrylic	acrylic
sợi canh	abb
sợi chỉ	thread
sợi chun	shir
sợi cọ sợi	raffia
sợi cơ	sarc
sợi dây	cord
sợi dây cước	snell
sợi dây nhỏ	tie-string
sợi gai	ramee
sợi gai dầu	hemp
sợi hoá học	challis
sợi kép	amphinema
sợi khổ	abb
sợi lanh	flax
sợi len xe	worsted
sợi libe	bast
sợi liên bào	plasmodesm
sợi liễu gai	splintery
sợi lông bện	stupeous
sợi mảnh	leptotene
sợi mây	cane
sợi mềm	protonema
sợi ngang	weft
sợi nhánh	ramus
sợi nhỏ	film
sợi nấm	hypha
sợi nấm non	promycelium
sợi sồi	floss-yarn
sợi sờ	palpocil
sợi tạo	ply
sợi thoi	spindle-fibres
sợi thuỷ tinh	fiberglass
sợi thùa	istle
sợi thô	rove
sợi to	thrum
sợi trục	axon
sợi túi ruột	phacella
sợi tơ	tram
sợi tơ nhện	cobweb
sợi vỏ	bast
sợi xe	slub
sợi xizan	sisal
sợi xoắn	spireme
sợi đan	tricot
sợi đay	jute
sợi đàn hồi	elater
sợi đèn	filament
sợi đôi	marline
sư	talapoin
sư cố	breakdown
sư dừng	stop
sư học nghề	prenticeship
sư khử	erasure
sư phạm	pedagogically
sư phụ vào	aid
sư tươi sáng	sunniness
sư tử	leonine
sư tử biển	sea-lion
sư tử cái	tigress
sư tử con	lionet
sư tử con...	whelp
sư tử hà đông	fury
sư xoáy	whirl
sư đoàn	divisional
sưng	turgid
sưng chân	footsore
sưng húp	puffily
sưng húp lên	bloat
sưng lên	swell
sưng phù lên	tumescent
sưng phồng	distend
sưng quá	overswollen
sưng sỉa	sulky
sưng to	distend
sưng tấy	rankle
sưu tầm	collecting
sưu tập	assemble
sương	precipitate
sương giá	frost
sương muối	hoar
sương mù	fog
sườn	fin
sườn cừu	chump-chop
sườn cứng	rib
sườn dốc	steep
sườn lợn	pork-chop
sườn núi	flank
sườn vòm	haunch
sườn đê	framework
sườn đồi	brae
sướng rơn	trod
sướng rơn lên	punch
sướt mướt	wet
sưởi	bask
sưởi ấm	warm
sượt qua	graze
sừ gay gắt	acridity
sừng	horn
sừng cồ	hackle
sừng hươu	attire
sừng nai	attire
sừng sau	dorsicornu
sừng sộ	hackles
sừng sờ	palpicorn
sừng sững	loftily
sừng trước	precornu
sừng để uống	drinking-horn
sứ	china
sứ giả	herald
sứ men rạn	crackleware
sứ mệnh	embassy
sứ quân	palatine
sứ thần	elchee
sứ đuổi ra	chuck
sứa	medusan
sức	power
sức bán	debit
sức bật	kick
sức bền	strength
sức bắn ra	projectile
sức cám dỗ	allure
sức cản	plummet
sức chở	burden
sức chứa	content
sức căng	strain
sức cương	turgor
sức dày dạn	hardiness
sức diễn cảm	expressiveness
sức ép	thrust
sức gặm mòn	corrosiveness
sức gợi lên	evocativeness
sức hấp dẫn	draw
sức hăng hái	vigour
sức khoẻ	tone
sức lôi cuốn	draw
sức lực	sinew
sức mạnh	vim
sức mê hoặc	charm
sức nghe	audition
sức ngựa	horsepower
sức nhìn	eyesight
sức nhìn xa	visuality
sức nóng	heat
sức nóng rực	ardor
sức nâng	lift
sức nẩy mầm	germinability
sức nổi	buoyancy
sức nặng	heft
sức phồng	turgor
sức quyến rũ	draw
sức sản xuất	productivity
sức sinh sản	procreativeness
sức sóng xô	scend
sức sống	go
sức tàn phá	destructiveness
sức trương	turgor
sức tụ tập	aggregative
sức xô tới	impetus
sức ăn mòn	mordancy
sức đè	thrust
sức đẩy	pull
sức đẩy lên	push
sức đẩy tới	impetus
sức đỡ lên	push
sức đựng	content
sứt	chip
sứt hàm ếch	cleft
sữa	milky
sữa bột	dried
sữa chua	yaourt
sữa non	foremilk
sữa trớ ra	cheese
sữa đông	curd
sữa...	parfait
sững sờ	petrify
sử	history
sử biên niên	chronicle
sử dụng	ply
sử dụng lại	re-employ
sử dụng sai	misemploy
sử dụng được	usable
sử gia	historian
sử học	story
sử lượng	cliometrics
sửa	set
sửa  tỉa	dress
sửa chữa	imp
sửa chữa lại	refit
sửa cấu trúc	peloric
sửa dối	tinker
sửa giậu	hedge
sửa hàng rào	hedge
sửa hào	ditcher
sửa hình	peloric
sửa lại	make
sửa lại vành	rebind
sửa lỗi	emend
sửa lưng ai	hair
sửa mình	mend
sửa mương	ditcher
sửa ngòi cho	nib
sửa qua loa	tinker
sửa quần áo	bushel
sửa rãnh	ditcher
sửa râu cho	barber
sửa sai	right
sửa sang	mend
sửa soạn	make
sửa tính nết	mend
sửa đổi	mend
sửng sốt	heap
sự	thing
sự  chấm nhẹ	dab
sự  lừa bịp	swindling
sự  mổ nhẹ	dab
sự  đánh nhẹ	dab
sự an nhàn	comfort
sự an ninh	security
sự an phận	unambition
sự an toàn	safety
sự an ủi	solace
sự an đất	grading
sự anh dũng	prowess
sự anh hoá	anglicization
sự ao ước	desire
sự arập hoá	arabization
sự axit hoá	acidification
sự ào ạt	storminess
sự ác cảm	allergy
sự ác liệt	fury
sự ác ý	snideness
sự ám ảnh	obnubilation
sự ám chỉ	reference
sự ám muội	darkness
sự ám thị	suggestion
sự áp bức	oppression
sự áp dụng	practice
sự áp vào	appliance
sự át	effacement
sự áy náy	restlessness
sự ảm ảnh	obsession
sự ảm đạm	drabness
sự ảnh hưởng	infection
sự b	forsaking
sự ba hoa	jaw
sự ba phải	double-think
sự ban bố	promulgation
sự ban cho	gift
sự ban hành	enaction
sự ban phúc	benison
sự ban quyền	enfranchisement
sự ban ra	delivery
sự ban tước	conferment
sự ban ơn	benison
sự bao	wrapping
sự bao bọc	covering
sự bao gồm	embracement
sự bao hàm	inclusion
sự bao la	immensity
sự bao phủ	envelopment
sự bao quanh	environment
sự bao quát	embracement
sự bao vây	siege
sự bay	fly
sự bay bổng	flight
sự bay hơi	volatilisation
sự bay liệng	hover
sự bay lượn	hover
sự bay ra	release
sự bay thẳng	scud
sự bay vụt	flight
sự bài anh	anglophobia
sự bài bác	impugnment
sự bài tiết	voiding
sự bài trí	orderling
sự bài trừ	proscription
sự bàn bạc	conference
sự bàn cãi	discussion
sự bàn giao	handover
sự bàn nhiều	expatiatory
sự bàng quang	indifference
sự bào	planing
sự bào chữa	defence
sự bào rãnh	grooving
sự bày biện	dressing
sự bày hàng	exposure
sự bày ra	display
sự bày tỏ	voice
sự bày đặt	contrivance
sự bác	refutal
sự bác bỏ	spurn
sự bác đi	set-down
sự bác đơn	nonsuit
sự bám chắt	bite
sự bám chặt	adherence
sự bán	sale
sự bán buôn	wholesale
sự bán chịu	tick
sự bán lại	resale
sự bán lỗ	sacrifice
sự bán non	short
sự bán rẻ	prostitution
sự bán tháo	clearance-sale
sự bán xon	clearance-sale
sự báng bổ	profanation
sự báo cáo	delation
sự báo hại	disservice
sự báo oán	reward
sự báo thù	requital
sự báo trước	beacon
sự báo đáp	repayment
sự báo đền	quittance
sự báo động	alarm
sự báo ơn	reward
sự báo ứng	nemesis
sự bãi bỏ	cancel
sự bảnh bao	spiciness
sự bảo dưỡng	servicing
sự bảo hiểm	insurance
sự bảo hộ	aegis
sự bảo lãnh	guaranty
sự bảo quản	keeping
sự bảo trợ	ward
sự bảo vệ	fencing
sự bảo đảm	warrant
sự bạc màu	parachrosis
sự bạc nghĩa	thanklessness
sự bạc đãi	misusage
sự bạc đâi	misuse
sự bạo dâm	masochism
sự bạo hành	battery
sự bạo ngược	tyranny
sự bạo động	outbreak
sự bạt mấu	snagging
sự bé tị	diminutiveness
sự bén rể	oecisis
sự béo	fatness
sự béo lùn	pudginess
sự béo phì	obeseness
sự béo phị	obesity
sự béo phệ	tubbiness
sự béo tốt	corpulence
sự bẽn lẽn	bashfulness
sự bẻ lại	refutal
sự bẹt	flatness
sự bi thảm	lugubriosity
sự biến	bunk
sự biến chất	denaturalization
sự biến dạng	straining
sự biến màu	stain
sự biến mất	vanishing
sự biến thiên	fluxation
sự biến tính	denaturalization
sự biến vào	immergence
sự biến điệu	modulation
sự biến đổi	mutation
sự biến động	movement
sự biếng trễ	laches
sự biết	acquaintance
sự biết làm	know-how
sự biết lo xa	forecast
sự biết mình	self-consciousness
sự biết viết	literacy
sự biết điều	reasonableness
sự biết đọc	literacy
sự biết đùa	humor
sự biết ơn	gratefulness
sự biếu	proffer
sự biển thủ	defalcation
sự biểu diễn	spectacle
sự biểu dương	citation
sự biểu hiện	figurate
sự biểu lộ	display
sự biểu thị	index
sự biện hộ	pleading
sự biện luận	discursion
sự biệt phái	secondment
sự biệt đãi	distinction
sự bình	recital
sự bình lặng	smoothness
sự bình lưu	advection
sự bình phục	recovery
sự bình phẩm	criticism
sự bình thơ	scansion
sự bình tĩnh	calm
sự bí	retention
sự bí hơi	closeness
sự bí mật	privacy
sự bít	occlusion
sự bỉ	contempt
sự bị bắt	capture
sự bị cấm	impermissibility
sự bị hỏng	spoilage
sự bị lu mờ	eclipse
sự bị lừa	delusion
sự bị rời ra	disconnectedness
sự bị đâm	stabbing
sự bịa đặt	romance
sự bịp	bamboozlement
sự bịp bợm	swindle
sự bịt kín	sealing
sự bịt lỗ	atresia
sự bo dưỡng	upkeep
sự bo vệ	welfare
sự bong  mảnh	splintering
sự bong gân	sprain
sự bò	crawl
sự bòn rút	sponging
sự bó	creep
sự bó buộc	rein
sự bó lại	binding
sự bó xương	setting
sự bóc	removal
sự bóc lột	exploitage
sự bóc trần	exposure
sự bói thẻ	sortilege
sự bói toán	fortune-telling
sự bón phân	dressing
sự bóng	skittish
sự bóng bảy	floridity
sự bóng sáng	shinines
sự bóp	press
sự bóp méo	twist
sự bóp nặn	exaction
sự bỏ	waiver
sự bỏ bùa mê	enchantment
sự bỏ bê	neglect
sự bỏ bớt	retrenchment
sự bỏ chạy	flight
sự bỏ cuộc	retirement
sự bỏ không	vacation
sự bỏ lề	emargination
sự bỏ neo	moorage
sự bỏ phiếu	voting
sự bỏ qua	omission
sự bỏ quên	limbo
sự bỏ ra đi	desertion
sự bỏ rơi	forsaking
sự bỏ sót	omission
sự bỏ thầu	bid
sự bỏ trốn	leg-bail
sự bỏ trống	vacation
sự bỏ tù	committal
sự bỏ đảng	apostasy
sự bỏ đạo	apostasy
sự bỏ đi	disuse
sự bọc	wrappage
sự bọc sắt	plating
sự bọc thép	steeling
sự buôn bán	trade
sự buôn lậu	running
sự buông lỏng	loose
sự buông ra	relinquishment
sự buồn bã	sadness
sự buồn bực	spleen
sự buồn chán	ennui
sự buồn cười	ridiculousness
sự buồn khổ	dolefulness
sự buồn mửa	queasiness
sự buồn nản	dumps
sự buồn ngủ	sandman
sự buồn nôn	qualm
sự buồn rầu	cloud
sự buồn tẻ	drab
